Cue	NORMAL Breathing
15077208	3.519
15077211	3.520
15077214	3.520
15077217	3.520
15077220	3.521
15077223	3.522
15077226	3.522
15077228	3.522
15077231	3.522
15077234	3.522
15077237	3.522
15077240	3.523
15077243	3.523
15077246	3.523
15077249	3.523
15077251	3.523
15077254	3.524
15077257	3.524
15077260	3.525
15077263	3.525
15077266	3.526
15077269	3.526
15077272	3.527
15077274	3.527
15077277	3.528
15077280	3.528
15077283	3.528
15077286	3.529
15077289	3.529
15077292	3.529
15077295	3.530
15077298	3.529
15077300	3.529
15077303	3.529
15077306	3.529
15077309	3.528
15077312	3.528
15077315	3.527
15077318	3.526
15077321	3.525
15077323	3.524
15077326	3.523
15077329	3.522
15077332	3.520
15077335	3.519
15077338	3.517
15077341	3.516
15077344	3.514
15077346	3.513
15077349	3.511
15077352	3.508
15077355	3.505
15077358	3.503
15077361	3.500
15077364	3.497
15077367	3.495
15077370	3.493
15077372	3.491
15077375	3.490
15077378	3.490
15077381	3.490
15077384	3.491
15077387	3.493
15077390	3.495
15077393	3.498
15077395	3.500
15077398	3.503
15077401	3.505
15077404	3.507
15077407	3.509
15077410	3.510
15077413	3.512
15077416	3.513
15077418	3.514
15077421	3.515
15077424	3.516
15077427	3.517
15077430	3.518
15077433	3.519
15077436	3.520
15077439	3.520
15077442	3.521
15077444	3.521
15077447	3.522
15077450	3.522
15077453	3.523
15077456	3.524
15077459	3.525
15077462	3.525
15077465	3.526
15077467	3.526
15077470	3.527
15077473	3.528
15077476	3.528
15077479	3.529
15077482	3.529
15077485	3.529
15077488	3.529
15077490	3.530
15077493	3.530
15077496	3.529
15077499	3.529
15077502	3.529
15077505	3.529
15077508	3.529
15077511	3.529
15077513	3.529
15077516	3.530
15077519	3.530
15077522	3.531
15077525	3.531
15077528	3.531
15077531	3.532
15077534	3.532
15077537	3.533
15077539	3.533
15077542	3.533
15077545	3.534
15077548	3.534
15077551	3.533
15077554	3.534
15077557	3.534
15077560	3.535
15077562	3.535
15077565	3.535
15077568	3.535
15077571	3.535
15077574	3.536
15077577	3.536
15077580	3.537
15077583	3.537
15077586	3.537
15077588	3.537
15077591	3.537
15077594	3.537
15077597	3.537
15077600	3.537
15077603	3.537
15077606	3.537
15077609	3.537
15077611	3.537
15077614	3.537
15077617	3.538
15077620	3.538
15077623	3.538
15077626	3.539
15077629	3.539
15077632	3.539
15077634	3.539
15077637	3.539
15077640	3.540
15077643	3.540
15077646	3.539
15077649	3.539
15077652	3.539
15077655	3.539
15077658	3.539
15077660	3.539
15077663	3.539
15077666	3.539
15077669	3.539
15077672	3.539
15077675	3.539
15077678	3.539
15077681	3.540
15077683	3.540
15077686	3.540
15077689	3.540
15077692	3.540
15077695	3.540
15077698	3.539
15077701	3.540
15077704	3.540
15077706	3.540
15077709	3.540
15077712	3.539
15077715	3.539
15077718	3.539
15077721	3.539
15077724	3.539
15077727	3.540
15077730	3.539
15077732	3.539
15077735	3.539
15077738	3.539
15077741	3.539
15077744	3.539
15077747	3.539
15077750	3.539
15077753	3.539
15077755	3.539
15077758	3.539
15077761	3.540
15077764	3.540
15077767	3.540
15077770	3.541
15077773	3.541
15077776	3.541
15077778	3.541
15077781	3.541
15077784	3.541
15077787	3.541
15077790	3.541
15077793	3.541
15077796	3.540
15077799	3.539
15077802	3.538
15077804	3.537
15077807	3.536
15077810	3.535
15077813	3.533
15077816	3.532
15077819	3.530
15077822	3.528
15077825	3.525
15077827	3.523
15077830	3.520
15077833	3.518
15077836	3.515
15077839	3.513
15077842	3.512
15077845	3.510
15077848	3.510
15077850	3.509
15077853	3.510
15077856	3.510
15077859	3.511
15077862	3.512
15077865	3.514
15077868	3.515
15077871	3.517
15077874	3.519
15077876	3.520
15077879	3.522
15077882	3.524
15077885	3.525
15077888	3.527
15077891	3.528
15077894	3.529
15077897	3.530
15077899	3.532
15077902	3.532
15077905	3.533
15077908	3.533
15077911	3.533
15077914	3.533
15077917	3.534
15077920	3.534
15077922	3.534
15077925	3.534
15077928	3.534
15077931	3.534
15077934	3.534
15077937	3.534
15077940	3.534
15077943	3.534
15077946	3.535
15077948	3.535
15077951	3.535
15077954	3.535
15077957	3.535
15077960	3.536
15077963	3.536
15077966	3.537
15077969	3.537
15077971	3.538
15077974	3.538
15077977	3.539
15077980	3.539
15077983	3.539
15077986	3.540
15077989	3.540
15077992	3.540
15077994	3.540
15077997	3.540
15078000	3.540
15078003	3.540
15078006	3.540
15078009	3.539
15078012	3.538
15078015	3.537
15078018	3.537
15078020	3.536
15078023	3.535
15078026	3.533
15078029	3.532
15078032	3.531
15078035	3.530
15078038	3.529
15078041	3.527
15078043	3.526
15078046	3.524
15078049	3.523
15078052	3.521
15078055	3.519
15078058	3.516
15078061	3.514
15078064	3.511
15078066	3.509
15078069	3.507
15078072	3.506
15078075	3.505
15078078	3.505
15078081	3.505
15078084	3.506
15078087	3.508
15078090	3.509
15078092	3.511
15078095	3.513
15078098	3.515
15078101	3.517
15078104	3.519
15078107	3.521
15078110	3.522
15078113	3.524
15078115	3.525
15078118	3.527
15078121	3.528
15078124	3.529
15078127	3.530
15078130	3.531
15078133	3.532
15078136	3.533
15078138	3.534
15078141	3.536
15078144	3.536
15078147	3.537
15078150	3.537
15078153	3.538
15078156	3.538
15078159	3.538
15078162	3.539
15078164	3.539
15078167	3.539
15078170	3.540
15078173	3.540
15078176	3.540
15078179	3.541
15078182	3.541
15078184	3.542
15078187	3.542
15078190	3.542
15078193	3.542
15078196	3.543
15078199	3.543
15078202	3.542
15078205	3.542
15078208	3.542
15078210	3.541
15078213	3.541
15078216	3.541
15078219	3.540
15078222	3.540
15078225	3.539
15078228	3.538
15078231	3.537
15078234	3.536
15078236	3.536
15078239	3.535
15078242	3.534
15078245	3.534
15078248	3.533
15078251	3.533
15078254	3.533
15078257	3.533
15078259	3.533
15078262	3.534
15078265	3.534
15078268	3.534
15078271	3.535
15078274	3.535
15078277	3.535
15078280	3.535
15078282	3.536
15078285	3.537
15078288	3.538
15078291	3.538
15078294	3.539
15078297	3.540
15078300	3.541
15078303	3.542
15078306	3.543
15078308	3.544
15078311	3.545
15078314	3.545
15078317	3.546
15078320	3.546
15078323	3.547
15078326	3.547
15078329	3.547
15078331	3.548
15078334	3.548
15078337	3.548
15078340	3.548
15078343	3.548
15078346	3.548
15078349	3.547
15078352	3.547
15078354	3.547
15078357	3.547
15078360	3.547
15078363	3.547
15078366	3.547
15078369	3.547
15078372	3.548
15078375	3.548
15078378	3.548
15078380	3.548
15078383	3.549
15078386	3.550
15078389	3.550
15078392	3.550
15078395	3.550
15078398	3.550
15078401	3.550
15078403	3.550
15078406	3.549
15078409	3.548
15078412	3.547
15078415	3.546
15078418	3.546
15078421	3.544
15078424	3.543
15078426	3.542
15078429	3.541
15078432	3.540
15078435	3.539
15078438	3.538
15078441	3.537
15078444	3.535
15078447	3.534
15078450	3.534
15078452	3.533
15078455	3.533
15078458	3.532
15078461	3.532
15078464	3.532
15078467	3.532
15078470	3.532
15078473	3.533
15078475	3.534
15078478	3.534
15078481	3.535
15078484	3.536
15078487	3.537
15078490	3.539
15078493	3.540
15078496	3.541
15078498	3.542
15078501	3.544
15078504	3.545
15078507	3.545
15078510	3.546
15078513	3.547
15078516	3.548
15078519	3.548
15078522	3.549
15078524	3.549
