Cue	NORMAL Breathing
15077208	3.700
15077211	3.700
15077214	3.701
15077216	3.701
15077219	3.701
15077222	3.702
15077225	3.702
15077228	3.703
15077231	3.703
15077234	3.704
15077237	3.704
15077239	3.705
15077242	3.706
15077245	3.706
15077248	3.707
15077251	3.708
15077254	3.709
15077257	3.709
15077260	3.710
15077262	3.711
15077265	3.711
15077268	3.712
15077271	3.712
15077274	3.712
15077277	3.713
15077280	3.713
15077283	3.713
15077285	3.714
15077288	3.714
15077291	3.714
15077294	3.714
15077297	3.714
15077300	3.714
15077303	3.714
15077306	3.714
15077309	3.715
15077311	3.714
15077314	3.715
15077317	3.715
15077320	3.714
15077323	3.714
15077326	3.714
15077329	3.714
15077332	3.713
15077334	3.713
15077337	3.712
15077340	3.711
15077343	3.710
15077346	3.709
15077349	3.707
15077352	3.706
15077355	3.703
15077358	3.701
15077360	3.698
15077363	3.695
15077366	3.693
15077369	3.690
15077372	3.688
15077375	3.687
15077378	3.687
15077381	3.687
15077383	3.687
15077386	3.688
15077389	3.690
15077392	3.692
15077395	3.694
15077398	3.696
15077401	3.697
15077404	3.698
15077406	3.700
15077409	3.701
15077412	3.702
15077415	3.703
15077418	3.703
15077421	3.704
15077424	3.704
15077427	3.705
15077430	3.706
15077432	3.706
15077435	3.706
15077438	3.706
15077441	3.706
15077444	3.707
15077447	3.707
15077450	3.707
15077453	3.708
15077455	3.708
15077458	3.708
15077461	3.709
15077464	3.709
15077467	3.710
15077470	3.710
15077473	3.710
15077476	3.711
15077478	3.711
15077481	3.711
15077484	3.712
15077487	3.712
15077490	3.712
15077493	3.712
15077496	3.712
15077499	3.712
15077502	3.712
15077504	3.712
15077507	3.713
15077510	3.712
15077513	3.713
15077516	3.713
15077519	3.713
15077522	3.713
15077525	3.713
15077527	3.714
15077530	3.714
15077533	3.714
15077536	3.714
15077539	3.715
15077542	3.715
15077545	3.715
15077548	3.715
15077550	3.715
15077553	3.715
15077556	3.715
15077559	3.715
15077562	3.715
15077565	3.715
15077568	3.715
15077571	3.715
15077574	3.715
15077576	3.716
15077579	3.716
15077582	3.716
15077585	3.716
15077588	3.717
15077591	3.717
15077594	3.717
15077597	3.718
15077599	3.718
15077602	3.718
15077605	3.718
15077608	3.719
15077611	3.719
15077614	3.719
15077617	3.720
15077620	3.720
15077622	3.720
15077625	3.720
15077628	3.720
15077631	3.720
15077634	3.721
15077637	3.721
15077640	3.721
15077643	3.721
15077646	3.721
15077648	3.721
15077651	3.721
15077654	3.721
15077657	3.721
15077660	3.722
15077663	3.722
15077666	3.722
15077669	3.722
15077671	3.722
15077674	3.722
15077677	3.722
15077680	3.723
15077683	3.723
15077686	3.723
15077689	3.723
15077692	3.723
15077694	3.723
15077697	3.724
15077700	3.724
15077703	3.724
15077706	3.724
15077709	3.724
15077712	3.724
15077715	3.724
15077718	3.724
15077720	3.724
15077723	3.723
15077726	3.723
15077729	3.723
15077732	3.723
15077735	3.723
15077738	3.723
15077741	3.723
15077743	3.723
15077746	3.723
15077749	3.723
15077752	3.723
15077755	3.724
15077758	3.724
15077761	3.724
15077764	3.724
15077766	3.724
15077769	3.725
15077772	3.725
15077775	3.724
15077778	3.724
15077781	3.722
15077784	3.721
15077787	3.719
15077790	3.717
15077792	3.714
15077795	3.711
15077798	3.707
15077801	3.703
15077804	3.700
15077807	3.696
15077810	3.693
15077813	3.690
15077815	3.687
15077818	3.685
15077821	3.682
15077824	3.680
15077827	3.679
15077830	3.677
15077833	3.676
15077836	3.675
15077838	3.673
15077841	3.673
15077844	3.673
15077847	3.672
15077850	3.673
15077853	3.673
15077856	3.673
15077859	3.674
15077862	3.675
15077864	3.676
15077867	3.677
15077870	3.679
15077873	3.680
15077876	3.682
15077879	3.684
15077882	3.686
15077885	3.687
15077887	3.689
15077890	3.690
15077893	3.691
15077896	3.692
15077899	3.693
15077902	3.693
15077905	3.694
15077908	3.694
15077910	3.695
15077913	3.696
15077916	3.697
15077919	3.698
15077922	3.699
15077925	3.700
15077928	3.701
15077931	3.703
15077934	3.704
15077936	3.705
15077939	3.706
15077942	3.707
15077945	3.708
15077948	3.709
15077951	3.710
15077954	3.711
15077957	3.711
15077959	3.712
15077962	3.713
15077965	3.713
15077968	3.714
15077971	3.715
15077974	3.715
15077977	3.716
15077980	3.717
15077982	3.717
15077985	3.718
15077988	3.718
15077991	3.718
15077994	3.718
15077997	3.719
15078000	3.719
15078003	3.718
15078006	3.718
15078008	3.718
15078011	3.717
15078014	3.717
15078017	3.717
15078020	3.716
15078023	3.715
15078026	3.715
15078029	3.714
15078031	3.713
15078034	3.712
